Date,EMB
2007-12-01,41.35280990600586
2008-01-01,41.810890197753906
2008-02-01,41.447166442871094
2008-03-01,41.50539779663086
2008-04-01,41.97237014770508
2008-05-01,42.02301025390625
2008-06-01,41.18455123901367
2008-07-01,41.53890609741211
2008-08-01,41.81511306762695
2008-09-01,38.81928253173828
2008-10-01,31.284292221069336
2008-11-01,34.23069381713867
2008-12-01,40.1219367980957
2009-01-01,37.714908599853516
2009-02-01,35.402305603027344
2009-03-01,37.195899963378906
2009-04-01,40.06494903564453
2009-05-01,41.21723175048828
2009-06-01,41.65690612792969
2009-07-01,42.963836669921875
2009-08-01,44.02651596069336
2009-09-01,46.30480194091797
2009-10-01,46.08669662475586
2009-11-01,46.454044342041016
2009-12-01,46.38547897338867
2010-01-01,46.51688003540039
2010-02-01,46.91206741333008
2010-03-01,48.13237380981445
2010-04-01,48.38819122314453
2010-05-01,47.511619567871094
2010-06-01,48.65413284301758
2010-07-01,50.62395095825195
2010-08-01,51.955806732177734
2010-09-01,52.79269790649414
2010-10-01,53.82097244262695
2010-11-01,51.44563293457031
2010-12-01,51.39616775512695
2011-01-01,51.30119705200195
2011-02-01,51.049503326416016
2011-03-01,51.84333038330078
2011-04-01,52.72957229614258
2011-05-01,53.49835205078125
2011-06-01,53.82902145385742
2011-07-01,54.89554214477539
2011-08-01,55.19589614868164
2011-09-01,52.54480743408203
2011-10-01,55.238426208496094
2011-11-01,54.535884857177734
2011-12-01,55.367027282714844
2012-01-01,56.4391975402832
2012-02-01,57.608673095703125
2012-03-01,57.53256607055664
2012-04-01,58.56297302246094
2012-05-01,56.94850158691406
2012-06-01,59.2533073425293
2012-07-01,61.476436614990234
2012-08-01,62.24272918701172
2012-09-01,63.366695404052734
2012-10-01,63.777320861816406
2012-11-01,64.56200408935547
2012-12-01,64.60932922363281
2013-01-01,63.169864654541016
2013-02-01,63.10631561279297
2013-03-01,62.51824188232422
2013-04-01,64.7545166015625
2013-05-01,61.571868896484375
2013-06-01,58.82706069946289
2013-07-01,58.89194107055664
2013-08-01,57.45184326171875
2013-09-01,59.25178527832031
2013-10-01,60.77647018432617
2013-11-01,59.55018615722656
2013-12-01,59.50421142578125
2014-01-01,59.46819305419922
2014-02-01,61.27534484863281
2014-03-01,62.00640869140625
2014-04-01,62.668190002441406
2014-05-01,64.84858703613281
2014-06-01,64.88672637939453
2014-07-01,64.72785186767578
2014-08-01,65.54905700683594
2014-09-01,64.19720458984375
2014-10-01,65.40225219726562
2014-11-01,65.12542724609375
2014-12-01,63.0073127746582
2015-01-01,64.7681655883789
2015-02-01,65.16802215576172
2015-03-01,65.19791412353516
2015-04-01,65.98827362060547
2015-05-01,65.77257537841797
2015-06-01,64.56796264648438
2015-07-01,64.65629577636719
2015-08-01,63.92890930175781
2015-09-01,63.217529296875
2015-10-01,64.74152374267578
2015-11-01,64.96290588378906
2015-12-01,63.656734466552734
2016-01-01,64.26229858398438
2016-02-01,65.13074493408203
2016-03-01,67.27964782714844
2016-04-01,68.33976745605469
2016-05-01,68.20702362060547
2016-06-01,71.03076934814453
2016-07-01,71.96018981933594
2016-08-01,72.93315887451172
2016-09-01,73.24274444580078
2016-10-01,71.9700698852539
2016-11-01,68.8890609741211
2016-12-01,69.73802947998047
2017-01-01,71.40702056884766
2017-02-01,72.31768798828125
2017-03-01,72.6933822631836
2017-04-01,73.9395523071289
2017-05-01,74.50188446044922
2017-06-01,73.96866607666016
2017-07-01,74.83818817138672
2017-08-01,76.3220443725586
2017-09-01,76.18539428710938
2017-10-01,76.36829376220703
2017-11-01,76.16473388671875
2017-12-01,76.86125183105469
2018-01-01,76.91598510742188
2018-02-01,75.03570556640625
2018-03-01,75.42510986328125
2018-04-01,73.8565444946289
2018-05-01,73.22756958007812
2018-06-01,72.10393524169922
2018-07-01,73.95755767822266
2018-08-01,72.25206756591797
2018-09-01,73.714599609375
2018-10-01,71.85611724853516
2018-11-01,71.48855590820312
2018-12-01,71.95718383789062
2019-01-01,76.6743392944336
2019-02-01,76.66726684570312
2019-03-01,77.82119750976562
2019-04-01,77.95458984375
2019-05-01,78.34163665771484
2019-06-01,81.09716796875
2019-07-01,81.71766662597656
2019-08-01,83.00183868408203
2019-09-01,82.09857940673828
2019-10-01,82.57611846923828
2019-11-01,81.7889633178711
2019-12-01,83.86785125732422
2020-01-01,85.54706573486328
2020-02-01,84.1751480102539
2020-03-01,71.56494140625
2020-04-01,74.66543579101562
2020-05-01,79.38462829589844
2020-06-01,81.79705810546875
2020-07-01,84.96448516845703
2020-08-01,85.59123229980469
2020-09-01,83.80717468261719
2020-10-01,83.39417266845703
2020-11-01,86.88729095458984
2020-12-01,88.4681167602539
2021-01-01,87.49757385253906
2021-02-01,84.561767578125
2021-03-01,83.94486236572266
2021-04-01,85.96150207519531
2021-05-01,86.79579162597656
2021-06-01,87.5354995727539
2021-07-01,88.0273666381836
2021-08-01,88.8231201171875
2021-09-01,86.48308563232422
2021-10-01,86.61534881591797
2021-11-01,84.97425079345703
2021-12-01,86.51326751708984
2022-01-01,84.15699768066406
2022-02-01,79.22158813476562
2022-03-01,78.34895324707031
2022-04-01,73.09735870361328
2022-05-01,73.68363189697266
2022-06-01,69.17225646972656
2022-07-01,71.62421417236328
2022-08-01,69.70582580566406
2022-09-01,65.1404800415039
2022-10-01,64.9678955078125
2022-11-01,71.50237274169922
2022-12-01,70.32062530517578
2023-01-01,73.65580749511719
2023-02-01,71.4187240600586
2023-03-01,72.5475845336914
2023-04-01,72.76177978515625
2023-05-01,71.90637969970703
2023-06-01,73.69856262207031
2023-07-01,74.98160552978516
2023-08-01,73.5997314453125
2023-09-01,71.13446807861328
2023-10-01,70.28237915039062
2023-11-01,74.6529541015625
2023-12-01,77.77301025390625
2024-01-01,77.447265625
2024-02-01,77.72896575927734
2024-03-01,79.2656021118164
2024-04-01,77.37625122070312
2024-05-01,79.38719177246094
2024-06-01,79.2071533203125
2024-07-01,81.3021240234375
2024-08-01,83.14321899414062
2024-09-01,84.8460922241211
2024-10-01,82.76502227783203
2024-11-01,84.23126220703125
2024-12-01,81.76805877685547
2025-01-01,84.1416015625
2025-02-01,85.51685333251953
2025-03-01,84.59074401855469
2025-04-01,84.35627746582031
2025-05-01,85.33320617675781
2025-06-01,87.62735748291016
2025-07-01,88.2583999633789
2025-08-01,89.81483459472656
2025-09-01,91.23966979980469
2025-10-01,93.05569458007812
2025-11-01,93.49948120117188
2025-12-01,93.46865844726562
2026-01-01,94.49614715576172
2026-02-01,95.62133026123047
2026-03-01,92.2999267578125
2026-04-01,94.52727508544922
2026-05-01,95.61205291748047
2026-06-01,96.33000183105469
