Date,INR
2003-12-01,45.529998779296875
2004-01-01,45.01599884033203
2004-02-01,45.19599914550781
2004-03-01,43.33399963378906
2004-04-01,44.284000396728516
2004-05-01,45.290000915527344
2004-06-01,45.88800048828125
2004-07-01,46.250999450683594
2004-08-01,46.27399826049805
2004-09-01,45.808998107910156
2004-10-01,45.24399948120117
2004-11-01,44.433998107910156
2004-12-01,43.30799865722656
2005-01-01,43.65999984741211
2005-02-01,43.560001373291016
2005-03-01,43.61000061035156
2005-04-01,43.43199920654297
2005-05-01,43.619998931884766
2005-06-01,43.459999084472656
2005-07-01,43.36000061035156
2005-08-01,43.97999954223633
2005-09-01,43.93000030517578
2005-10-01,45.040000915527344
2005-11-01,45.86000061035156
2005-12-01,44.970001220703125
2006-01-01,43.900001525878906
2006-02-01,44.25
2006-03-01,44.52799987792969
2006-04-01,44.80500030517578
2006-05-01,46.15999984741211
2006-06-01,45.80500030517578
2006-07-01,46.41999816894531
2006-08-01,46.47600173950195
2006-09-01,45.71500015258789
2006-10-01,44.834999084472656
2006-11-01,44.55099868774414
2006-12-01,44.040000915527344
2007-01-01,44.005001068115234
2007-02-01,44.01599884033203
2007-03-01,43.04499816894531
2007-04-01,40.96900177001953
2007-05-01,40.54600143432617
2007-06-01,40.529998779296875
2007-07-01,40.39799880981445
2007-08-01,40.57500076293945
2007-09-01,39.57500076293945
2007-10-01,39.17399978637695
2007-11-01,39.45500183105469
2007-12-01,39.244998931884766
2008-01-01,39.31399917602539
2008-02-01,39.90999984741211
2008-03-01,39.888999938964844
2008-04-01,40.38600158691406
2008-05-01,42.084999084472656
2008-06-01,42.85200119018555
2008-07-01,42.433998107910156
2008-08-01,43.625
2008-09-01,46.60100173950195
2008-10-01,49.40299987792969
2008-11-01,49.56800079345703
2008-12-01,48.064998626708984
2009-01-01,48.733001708984375
2009-02-01,50.893001556396484
2009-03-01,50.784000396728516
2009-04-01,49.1879997253418
2009-05-01,47.112998962402344
2009-06-01,47.80099868774414
2009-07-01,47.625999450683594
2009-08-01,48.75
2009-09-01,47.810001373291016
2009-10-01,46.917999267578125
2009-11-01,46.45800018310547
2009-12-01,46.400001525878906
2010-01-01,46.097999572753906
2010-02-01,46.06800079345703
2010-03-01,44.79999923706055
2010-04-01,44.25
2010-05-01,46.358001708984375
2010-06-01,46.400001525878906
2010-07-01,46.36000061035156
2010-08-01,46.87300109863281
2010-09-01,44.689998626708984
2010-10-01,44.41999816894531
2010-11-01,45.79999923706055
2010-12-01,44.810001373291016
2011-01-01,45.8380012512207
2011-02-01,45.25
2011-03-01,44.61000061035156
2011-04-01,44.29999923706055
2011-05-01,45.08300018310547
2011-06-01,44.7599983215332
2011-07-01,44.0099983215332
2011-08-01,45.939998626708984
2011-09-01,48.86000061035156
2011-10-01,48.62799835205078
2011-11-01,51.90299987792969
2011-12-01,53.0
