Date,EEM
2003-04-01,7.555550575256348
2003-05-01,8.24482536315918
2003-06-01,8.590896606445312
2003-07-01,9.078120231628418
2003-08-01,9.80322265625
2003-09-01,9.739455223083496
2003-10-01,10.63365364074707
2003-11-01,10.833559036254883
2003-12-01,11.745668411254883
2004-01-01,12.092833518981934
2004-02-01,12.571073532104492
2004-03-01,12.640220642089844
2004-04-01,11.401403427124023
2004-05-01,11.534649848937988
2004-06-01,11.64124584197998
2004-07-01,11.217742919921875
2004-08-01,11.613877296447754
2004-09-01,12.424144744873047
2004-10-01,12.777786254882812
2004-11-01,14.049004554748535
2004-12-01,14.538052558898926
2005-01-01,14.637767791748047
2005-02-01,16.055030822753906
2005-03-01,14.7850341796875
2005-04-01,14.6005859375
2005-05-01,15.0620756149292
2005-06-01,15.659887313842773
2005-07-01,16.86281394958496
2005-08-01,17.08590316772461
2005-09-01,18.564409255981445
2005-10-01,17.387720108032227
2005-11-01,18.39380645751953
2005-12-01,19.301471710205078
2006-01-01,22.28799057006836
2006-02-01,21.429906845092773
2006-03-01,21.894332885742188
2006-04-01,23.320785522460938
2006-05-01,20.72221565246582
2006-06-01,20.766441345214844
2006-07-01,21.252981185913086
2006-08-01,21.589139938354492
2006-09-01,21.401155471801758
2006-10-01,22.911645889282227
2006-11-01,24.28281593322754
2006-12-01,25.24925422668457
2007-01-01,25.637744903564453
2007-02-01,24.807832717895508
2007-03-01,26.131214141845703
2007-04-01,27.104686737060547
2007-05-01,28.477420806884766
2007-06-01,29.5249080657959
2007-07-01,29.735759735107422
2007-08-01,30.045299530029297
2007-09-01,33.52198791503906
2007-10-01,37.50110626220703
2007-11-01,34.632266998291016
2007-12-01,33.7126350402832
2008-01-01,31.098630905151367
2008-02-01,31.718835830688477
2008-03-01,30.52842140197754
2008-04-01,33.31818771362305
2008-05-01,34.3723030090332
2008-06-01,30.83283233642578
2008-07-01,29.469675064086914
2008-08-01,27.608428955078125
2008-09-01,23.555055618286133
2008-10-01,17.530149459838867
2008-11-01,15.820557594299316
2008-12-01,17.213041305541992
2009-01-01,15.833579063415527
2009-02-01,14.840917587280273
2009-03-01,17.343534469604492
2009-04-01,20.041887283325195
2009-05-01,23.236560821533203
2009-06-01,22.530521392822266
2009-07-01,25.21569061279297
2009-08-01,24.88446617126465
2009-09-01,27.42154312133789
2009-10-01,26.477182388305664
2009-11-01,28.55617332458496
2009-12-01,29.246835708618164
2010-01-01,27.2033634185791
2010-02-01,27.686599731445312
2010-03-01,29.932235717773438
2010-04-01,29.882482528686523
2010-05-01,27.075443267822266
2010-06-01,26.521148681640625
2010-07-01,29.615381240844727
2010-08-01,28.656808853149414
2010-09-01,32.02609634399414
2010-10-01,32.991817474365234
2010-11-01,32.03325271606445
2010-12-01,34.07913589477539
2011-01-01,33.04452133178711
2011-02-01,33.03009033203125
2011-03-01,35.1075439453125
2011-04-01,36.06691360473633
2011-05-01,35.00655746459961
2011-06-01,34.335716247558594
2011-07-01,34.32208251953125
2011-08-01,31.145601272583008
2011-09-01,25.572181701660156
2011-10-01,29.73221206665039
2011-11-01,29.14936637878418
2011-12-01,27.641252517700195
2012-01-01,30.9733829498291
2012-02-01,32.60628128051758
2012-03-01,31.59122657775879
2012-04-01,31.054290771484375
2012-05-01,27.729671478271484
2012-06-01,28.781492233276367
2012-07-01,29.1185245513916
2012-08-01,29.237613677978516
2012-09-01,30.763513565063477
2012-10-01,30.62953758239746
2012-11-01,31.10590934753418
2012-12-01,33.01140594482422
2013-01-01,33.12485122680664
2013-02-01,32.368263244628906
2013-03-01,32.03865432739258
2013-04-01,32.42819595336914
2013-05-01,30.862594604492188
2013-06-01,28.840045928955078
2013-07-01,29.605972290039062
2013-08-01,28.854633331298828
2013-09-01,30.934106826782227
2013-10-01,32.22429656982422
2013-11-01,32.140804290771484
2013-12-01,31.723392486572266
2014-01-01,29.245616912841797
2014-02-01,30.23348617553711
2014-03-01,31.4051513671875
2014-04-01,31.650205612182617
2014-05-01,32.58447265625
2014-06-01,33.10520935058594
2014-07-01,33.82246780395508
2014-08-01,34.77956008911133
2014-09-01,32.07808303833008
2014-10-01,32.533477783203125
2014-11-01,32.03178405761719
2014-12-01,30.325992584228516
2015-01-01,30.5507869720459
2015-02-01,31.897470474243164
2015-03-01,31.41986846923828
2015-04-01,33.57298278808594
2015-05-01,32.19498825073242
2015-06-01,31.020565032958984
2015-07-01,29.279449462890625
2015-08-01,26.692258834838867
2015-09-01,25.856149673461914
2015-10-01,27.50469970703125
2015-11-01,26.81057357788086
2015-12-01,25.390777587890625
2016-01-01,24.488725662231445
2016-02-01,24.2884521484375
2016-03-01,27.436662673950195
2016-04-01,27.548810958862305
2016-05-01,26.531452178955078
2016-06-01,27.5247802734375
2016-07-01,29.234668731689453
2016-08-01,29.493030548095703
2016-09-01,30.235809326171875
2016-10-01,29.985519409179688
2016-11-01,28.661449432373047
2016-12-01,28.265832901000977
2017-01-01,30.491689682006836
2017-02-01,31.022491455078125
2017-03-01,32.16571807861328
2017-04-01,32.712833404541016
2017-05-01,33.64374923706055
2017-06-01,33.79890441894531
2017-07-01,35.9326286315918
2017-08-01,36.77760696411133
2017-09-01,36.76121520996094
2017-10-01,37.967159271240234
2017-11-01,37.819496154785156
2017-12-01,38.65629196166992
2018-01-01,42.49839401245117
2018-02-01,39.99163055419922
2018-03-01,40.208160400390625
2018-04-01,39.075538635253906
2018-05-01,38.051185607910156
2018-06-01,36.08574676513672
2018-07-01,37.60402297973633
2018-08-01,36.187374114990234
2018-09-01,35.97780990600586
2018-10-01,32.82597732543945
2018-11-01,34.435420989990234
2018-12-01,32.742156982421875
2019-01-01,36.67142105102539
2019-02-01,36.109859466552734
2019-03-01,36.51826477050781
2019-04-01,37.377628326416016
2019-05-01,34.637908935546875
2019-06-01,36.509769439697266
2019-07-01,35.8107795715332
2019-08-01,34.45619201660156
2019-09-01,35.03917694091797
2019-10-01,36.50521469116211
2019-11-01,36.47092056274414
2019-12-01,38.468505859375
2020-01-01,36.87343978881836
2020-02-01,35.481163024902344
2020-03-01,29.88578987121582
2020-04-01,32.08366394042969
2020-05-01,33.038108825683594
2020-06-01,35.01707458496094
2020-07-01,38.126651763916016
2020-08-01,39.22755813598633
2020-09-01,38.83123016357422
2020-10-01,39.377281188964844
2020-11-01,42.91780090332031
2020-12-01,45.50713348388672
2021-01-01,47.43693161010742
2021-02-01,47.810665130615234
2021-03-01,47.46363067626953
2021-04-01,48.033119201660156
2021-05-01,48.82506561279297
2021-06-01,49.07422637939453
2021-07-01,46.116363525390625
2021-08-01,46.84028625488281
2021-09-01,45.02602005004883
2021-10-01,45.50863265991211
2021-11-01,43.649681091308594
2021-12-01,43.65861129760742
2022-01-01,44.29844284057617
2022-02-01,42.38465118408203
2022-03-01,40.95157241821289
2022-04-01,38.43914794921875
2022-05-01,38.67496871948242
2022-06-01,36.371158599853516
2022-07-01,36.55218505859375
2022-08-01,36.0673828125
2022-09-01,31.905405044555664
2022-10-01,31.27425193786621
2022-11-01,36.14970779418945
2022-12-01,34.66786575317383
2023-01-01,38.409423828125
2023-02-01,35.502716064453125
2023-03-01,36.64496994018555
2023-04-01,36.3385124206543
2023-05-01,35.46556854248047
2023-06-01,36.73783493041992
2023-07-01,39.26253890991211
2023-08-01,36.6606330871582
2023-09-01,35.5187873840332
2023-10-01,34.34886932373047
2023-11-01,37.02565383911133
2023-12-01,37.634010314941406
2024-01-01,36.61011505126953
2024-02-01,38.13593673706055
2024-03-01,39.17539978027344
2024-04-01,39.089569091796875
2024-05-01,39.852481842041016
2024-06-01,40.61539077758789
2024-07-01,41.24150848388672
2024-08-01,41.644798278808594
2024-09-01,44.03575134277344
2024-10-01,42.68184280395508
2024-11-01,41.5391731262207
2024-12-01,40.15645980834961
2025-01-01,41.71317672729492
2025-02-01,42.191627502441406
2025-03-01,42.670082092285156
2025-04-01,42.728668212890625
2025-05-01,44.44718933105469
2025-06-01,47.10308837890625
2025-07-01,47.874881744384766
2025-08-01,49.15653991699219
2025-09-01,52.6465950012207
2025-10-01,54.5197868347168
2025-11-01,53.55361557006836
2025-12-01,53.9381103515625
2026-01-01,59.099998474121094
2026-02-01,62.58000183105469
2026-03-01,56.790000915527344
2026-04-01,63.9900016784668
2026-05-01,68.5999984741211
2026-06-01,68.0250015258789
