Date,TRY
2005-01-01,1.3320000171661377
2005-02-01,1.277999997138977
2005-03-01,1.3485000133514404
2005-04-01,1.381500005722046
2005-05-01,1.3569999933242798
2005-06-01,1.3265000581741333
2005-07-01,1.3213000297546387
2005-08-01,1.3424999713897705
2005-09-01,1.343999981880188
2005-10-01,1.3459999561309814
2005-11-01,1.3550000190734863
2005-12-01,1.350000023841858
2006-01-01,1.3229999542236328
2006-02-01,1.312999963760376
2006-03-01,1.3365000486373901
2006-04-01,1.3114999532699585
2006-05-01,1.5631999969482422
2006-06-01,1.5779999494552612
2006-07-01,1.4889999628067017
2006-08-01,1.465000033378601
2006-09-01,1.5075000524520874
2006-10-01,1.4494999647140503
2006-11-01,1.4464999437332153
2006-12-01,1.410099983215332
2007-01-01,1.402999997138977
2007-02-01,1.406999945640564
2007-03-01,1.3846999406814575
2007-04-01,1.3619999885559082
2007-05-01,1.3109999895095825
2007-06-01,1.3011000156402588
2007-07-01,1.281999945640564
2007-08-01,1.2949999570846558
2007-09-01,1.2019000053405762
2007-10-01,1.1655000448226929
2007-11-01,1.1727999448776245
2007-12-01,1.1627999544143677
2008-01-01,1.1686999797821045
2008-02-01,1.2173000574111938
2008-03-01,1.3317999839782715
2008-04-01,1.2676000595092773
2008-05-01,1.2120000123977661
2008-06-01,1.2231999635696411
2008-07-01,1.1516000032424927
2008-08-01,1.1900999546051025
2008-09-01,1.2640000581741333
2008-10-01,1.523800015449524
2008-11-01,1.5506000518798828
2008-12-01,1.4931999444961548
2009-01-01,1.6319999694824219
2009-02-01,1.6864999532699585
2009-03-01,1.6676000356674194
2009-04-01,1.5958000421524048
2009-05-01,1.5313999652862549
2009-06-01,1.5390000343322754
2009-07-01,1.4696999788284302
2009-08-01,1.499500036239624
2009-09-01,1.4831000566482544
2009-10-01,1.4987000226974487
2009-11-01,1.527400016784668
2009-12-01,1.4982999563217163
2010-01-01,1.4954999685287476
2010-02-01,1.5489000082015991
2010-03-01,1.5155999660491943
2010-04-01,1.4880000352859497
2010-05-01,1.5717999935150146
2010-06-01,1.5812000036239624
2010-07-01,1.5047999620437622
2010-08-01,1.5232000350952148
2010-09-01,1.4505000114440918
2010-10-01,1.4292999505996704
2010-11-01,1.5026999711990356
2010-12-01,1.552299976348877
2011-01-01,1.6100000143051147
2011-02-01,1.5906000137329102
2011-03-01,1.5511000156402588
2011-04-01,1.5233999490737915
2011-05-01,1.6002999544143677
2011-06-01,1.620300054550171
2011-07-01,1.6725000143051147
2011-08-01,1.7310999631881714
2011-09-01,1.8499000072479248
2011-10-01,1.7417000532150269
2011-11-01,1.850000023841858
2011-12-01,1.9154000282287598
2012-01-01,1.7861000299453735
2012-02-01,1.750499963760376
2012-03-01,1.780500054359436
2012-04-01,1.7590999603271484
2012-05-01,1.8550000190734863
2012-06-01,1.8076000213623047
2012-07-01,1.8007999658584595
2012-08-01,1.8265000581741333
2012-09-01,1.797950029373169
2012-10-01,1.79653000831604
2012-11-01,1.7850799560546875
2012-12-01,1.7886799573898315
2013-01-01,1.7683199644088745
2013-02-01,1.7959699630737305
2013-03-01,1.8087300062179565
2013-04-01,1.7936099767684937
2013-05-01,1.8714100122451782
2013-06-01,1.9280699491500854
2013-07-01,1.9224499464035034
2013-08-01,2.038300037384033
2013-09-01,2.0381200313568115
2013-10-01,1.9928900003433228
2013-11-01,2.0178000926971436
2013-12-01,2.1205599308013916
2014-01-01,2.2637500762939453
2014-02-01,2.2108700275421143
2014-03-01,2.1757800579071045
2014-04-01,2.121000051498413
2014-05-01,2.0989880561828613
2014-06-01,2.12349009513855
2014-07-01,2.1313700675964355
2014-08-01,2.1602399349212646
2014-09-01,2.2794299125671387
2014-10-01,2.198539972305298
2014-11-01,2.2190499305725098
2014-12-01,2.32273006439209
2015-01-01,2.4449000358581543
2015-02-01,2.5106070041656494
2015-03-01,2.60260009765625
2015-04-01,2.656749963760376
2015-05-01,2.6553099155426025
2015-06-01,2.7032999992370605
2015-07-01,2.7876598834991455
2015-08-01,2.9180500507354736
2015-09-01,3.038140058517456
2015-10-01,2.9347000122070312
2015-11-01,2.925649881362915
2015-12-01,2.9200899600982666
2016-01-01,2.9544999599456787
2016-02-01,2.987950086593628
2016-03-01,2.833009958267212
2016-04-01,2.7934999465942383
2016-05-01,2.9532699584960938
2016-06-01,2.887860059738159
2016-07-01,2.9863901138305664
2016-08-01,2.9632999897003174
2016-09-01,2.997080087661743
2016-10-01,3.1063098907470703
2016-11-01,3.40939998626709
2016-12-01,3.5250000953674316
2017-01-01,3.7761900424957275
2017-02-01,3.6068999767303467
2017-03-01,3.6542999744415283
2017-04-01,3.5529000759124756
2017-05-01,3.552500009536743
2017-06-01,3.5242300033569336
2017-07-01,3.5322999954223633
2017-08-01,3.4551000595092773
2017-09-01,3.558310031890869
2017-10-01,3.777250051498413
2017-11-01,3.956049919128418
2017-12-01,3.794800043106079
2018-01-01,3.7757198810577393
2018-02-01,3.815200090408325
2018-03-01,3.954200029373169
2018-04-01,4.051660060882568
2018-05-01,4.468599796295166
2018-06-01,4.5904998779296875
2018-07-01,4.882780075073242
2018-08-01,6.734099864959717
2018-09-01,6.056099891662598
2018-10-01,5.480899810791016
2018-11-01,5.170199871063232
2018-12-01,5.274280071258545
2019-01-01,5.227409839630127
2019-02-01,5.309370040893555
2019-03-01,5.583199977874756
2019-04-01,5.94890022277832
2019-05-01,5.912499904632568
2019-06-01,5.7718000411987305
2019-07-01,5.557700157165527
2019-08-01,5.832699775695801
2019-09-01,5.667699813842773
2019-10-01,5.701000213623047
2019-11-01,5.744500160217285
2019-12-01,5.9472198486328125
2020-01-01,5.97415018081665
2020-02-01,6.206769943237305
2020-03-01,6.565040111541748
2020-04-01,6.951000213623047
2020-05-01,6.811049938201904
2020-06-01,6.8495001792907715
2020-07-01,6.969399929046631
2020-08-01,7.324900150299072
2020-09-01,7.8113298416137695
2020-10-01,8.297940254211426
2020-11-01,7.817319869995117
2020-12-01,7.373730182647705
2021-01-01,7.307700157165527
2021-02-01,7.3231000900268555
2021-03-01,8.324700355529785
2021-04-01,8.184880256652832
2021-05-01,8.573399543762207
2021-06-01,8.72599983215332
2021-07-01,8.45226001739502
2021-08-01,8.367300033569336
2021-09-01,8.916139602661133
2021-10-01,9.52511978149414
2021-11-01,12.699000358581543
2021-12-01,13.290499687194824
2022-01-01,13.482049942016602
2022-02-01,14.028840065002441
2022-03-01,14.651009559631348
2022-04-01,14.78888988494873
2022-05-01,16.383499145507812
2022-06-01,16.62820053100586
2022-07-01,17.945199966430664
2022-08-01,18.15026092529297
2022-09-01,18.497499465942383
2022-10-01,18.572969436645508
2022-11-01,18.63990020751953
2022-12-01,18.68079948425293
2023-01-01,18.808000564575195
2023-02-01,18.884199142456055
2023-03-01,19.17569923400879
2023-04-01,19.444400787353516
2023-05-01,20.611600875854492
2023-06-01,26.03860092163086
2023-07-01,26.84040069580078
2023-08-01,26.681299209594727
2023-09-01,27.458900451660156
2023-10-01,28.257369995117188
2023-11-01,28.940919876098633
2023-12-01,29.519800186157227
2024-01-01,30.358400344848633
2024-02-01,31.208839416503906
2024-03-01,32.362998962402344
2024-04-01,32.36991882324219
2024-05-01,32.24380111694336
2024-06-01,32.733299255371094
2024-07-01,33.0984992980957
2024-08-01,34.07733917236328
2024-09-01,34.1490592956543
2024-10-01,34.283199310302734
2024-11-01,34.67789840698242
2024-12-01,35.30524826049805
2025-01-01,35.853031158447266
2025-02-01,36.517799377441406
2025-03-01,37.975101470947266
2025-04-01,38.4994010925293
2025-05-01,39.20848846435547
2025-06-01,39.89059829711914
2025-07-01,40.58700180053711
2025-08-01,41.097999572753906
2025-09-01,41.57659912109375
2025-10-01,42.026798248291016
2025-11-01,42.49300003051758
2025-12-01,42.95198059082031
2026-01-01,43.455101013183594
2026-02-01,43.95539855957031
2026-03-01,44.473899841308594
2026-04-01,45.16600036621094
2026-05-01,45.85049819946289
2026-06-01,46.246498107910156
