Date,DXY
2012-02-01,78.7300033569336
2012-03-01,78.93000030517578
2012-04-01,78.79000091552734
2012-05-01,83.04000091552734
2012-06-01,81.6500015258789
2012-07-01,82.63999938964844
2012-08-01,81.25
2012-09-01,79.94000244140625
2012-10-01,79.91999816894531
2012-11-01,80.1500015258789
2012-12-01,79.7699966430664
2013-01-01,79.20999908447266
2013-02-01,81.9800033569336
2013-03-01,82.98999786376953
2013-04-01,81.7300033569336
2013-05-01,83.37999725341797
2013-06-01,83.16999816894531
2013-07-01,81.44999694824219
2013-08-01,82.08999633789062
2013-09-01,80.22000122070312
2013-10-01,80.19999694824219
2013-11-01,80.68000030517578
2013-12-01,80.04000091552734
2014-01-01,81.2699966430664
2014-02-01,79.77999877929688
2014-03-01,80.0999984741211
2014-04-01,79.48999786376953
2014-05-01,80.37000274658203
2014-06-01,79.77999877929688
2014-07-01,81.45999908447266
2014-08-01,82.75
2014-09-01,85.94000244140625
2014-10-01,86.87999725341797
2014-11-01,88.36000061035156
2014-12-01,90.2699966430664
2015-01-01,94.80000305175781
2015-02-01,95.25
2015-03-01,98.36000061035156
2015-04-01,94.5999984741211
2015-05-01,96.91000366210938
2015-06-01,95.48999786376953
2015-07-01,97.37000274658203
